Product;Synonym
Escora do Balancim;suporte do balancim, barra de apoio do balancim, braço de sustentação do balancim;sim
Esfera da Alavanca do Câmbio;esfera de engate da alavanca de mudanças, esfera do manípulo da alavanca de câmbio, esfera do punho do câmbio;sim
Esfera da Alavanca do Trambulador;esfera de engate da alavanca de seleção, esfera do manípulo do trambulador, esfera do punho do seletor;sim
Esfera de Engate;esfera de conexão, esfera de encaixe, esfera de acoplamento;sim
Espaçador da Manga de Eixo;espaçador do cubo, anel espaçador, adaptador da manga de eixo;sim
Espaçador de Hélice;anel espaçador de rotor, espaçador da pás da hélice, anel de espaçamento do ventilador;sim
Espaçador do Amortecedor;bucha espaçadora do amortecedor, anel espaçador do amortecedor, espaçador de suspensão;sim
Espaçador S dos Injetores;anel espaçador dos injetores, arruela espaçadora dos injetores, espaçador de injetor;sim
Espaçadora da Alavanca de Articulação;bucha espaçadora da alavanca de articulação, arruela espaçadora da alavanca de articulação, espaçador da articulação;sim
Espaçadora da Engrenagem de Ré;bucha espaçadora da engrenagem de ré, arruela espaçadora da engrenagem de ré, espaçador da marcha ré;sim
Espaçadora do Garfo;bucha espaçadora do garfo, arruela espaçadora do garfo, espaçador de engate;sim
Espaçadora do Roletes;bucha espaçadora dos roletes, arruela espaçadora dos roletes, espaçador de rolo;sim
Espaçadora do Varão;bucha espaçadora do varão, arruela espaçadora do varão, espaçador de vareta;sim
Espelho Auxiliar;espelho adicional, espelho de apoio, espelho de suporte;sim
Espelho da Maçaneta;espelho da alça, espelho do puxador, espelho do cabo;sim
Espelho da Rampa;espelho da inclinação, espelho da declividade, espelho da superfície inclinada;sim
Espelho do Retrovisor;espelho do espelho, espelho principal, espelho de reflexão;sim
Espelho para Maquiagem;espelho de cosméticos, espelho de vaidade, espelho de maquiagem;sim
Espelho para Quebra Sol;espelho de sol, espelho de parasol, espelho de proteção solar;sim
Espelho Rampa Convexo;espelho de superfície curva, espelho côncavo, espelho de ampliação;sim
Espelho Retrovisor;espelho de visão traseira, espelho de retrovisão, espelho de olhar para trás;sim
Espelho Retrovisor Auxiliar;espelho adicional de retrovisão, espelho extra de visão traseira, espelho suplementar de olhar para trás;sim
Esticador da Bomba da Direção Hidráulica;tensor da bomba de direção hidráulica, esticador da correia da direção hidráulica, tensionador da correia da bomba de direção hidráulica;sim
Esticador da Correia Dentada;tensor da correia dentada, tensionador da correia dentada, esticador da corrente de distribuição;sim
Esticador do Alternador;tensor do alternador, tensionador do alternador, esticador da correia do alternador;sim
Esticador do Compressor de Ar;tensor do compressor de ar, tensionador do compressor de ar, esticador da correia do compressor de ar;sim
Evaporador do Ar-condicionado;unidade evaporadora, condensador do ar-condicionado, trocador de calor do ar-condicionado;sim
Extensão da Grade;barra de extensão da grade, prolongamento da grade, extensor da grade;sim
Extensão da Lanterna;barra de extensão da lanterna, prolongamento da lanterna, extensor da lanterna;sim
Extensão do Defletor de Água;barra de extensão do defletor de água, prolongamento do defletor de água, extensor do defletor de água;sim
Extensão do Para-barro;barra de extensão do para-barro, prolongamento do para-barro, extensor do para-barro;sim
Extensor da Alanca do Câmbio;alongador da alavanca de mudanças, extensor do manípulo do câmbio, extensor de engate do câmbio;sim
Farol Auxiliar;farol adicional, farol de apoio, farol suplementar, farol de auxílio;sim
Farol de Milha;farol de longo alcance, farol de projeção, farol de auxílio;sim
Farol de Neblina;farol de nevoeiro, farol de bruma, farol de baixa visibilidade;sim
Farol Duplo;farol de dupla iluminação, farol de feixe duplo, farol alto e baixo;sim
Farol Principal;farol alto, farol de iluminação principal;sim
Fechadua da Porta;trinco da porta, fechamento da porta, mecanismo de trava da porta;sim
Fechadura Batente da Porta;trinco batente da porta, mecanismo de fechamento do batente, fechadura do batente da porta;sim
Fechadura Baú;trava do baú, mecanismo de fechamento do baú, fechamento do baú;sim
Fechadura da Cabine;trinco da cabine, fechamento da cabine, mecanismo de trava da cabine;sim
Fechadura da Caixa de Ferramentas;trava da caixa de ferramentas, mecanismo de fechamento da caixa de ferramentas, fechadura da caixa de ferramentas;sim
Fechadura da Haste da Trava de Cabine;trinco da haste da trava da cabine, mecanismo de fechamento da haste, fechadura da haste da trava da cabine;sim
Fechadura da Porta;trinco da porta, mecanismo de fechamento da porta, fechamento da porta;sim
Fechadura da Porta Baú;trinco da porta do baú, mecanismo de fechamento da porta do baú, fechadura da porta do baú;sim
Fechadura da Porta de Correr;trinco da porta de correr, mecanismo de fechamento da porta de correr, fechadura da porta de correr;sim
Fechadura da Porta Lateral;trinco da porta lateral, mecanismo de fechamento da porta lateral, fechadura da porta lateral;sim
Fechadura da Tampa da Caçamba;trinco da tampa da caçamba, mecanismo de fechamento da tampa da caçamba, fechadura da tampa da caçamba;sim
Fechadura da Tampa do Motor;trinco da tampa do motor, mecanismo de fechamento da tampa do motor, fechadura da tampa do motor;sim
Fechadura de Cabine Basculante;trava da cabine basculante, mecanismo de fechamento da cabine basculante, fechadura da cabine basculante;sim
Fechadura do Baú;trinco do baú, mecanismo de fechamento do baú, fechamento do baú;sim
Fechadura do Capô;trinco do capô, mecanismo de fechamento do capô, fechamento do capô;sim
Fechadura do Estepe;trinco do estepe, mecanismo de fechamento do estepe, fechadura do estepe;sim
Fechadura do Meio;trinco do meio, mecanismo de fechamento do meio, fechadura do meio;sim
Fechadura do Porta-malas;trinco do porta-malas, mecanismo de fechamento do porta-malas, fechamento do porta-malas;sim
Fechadura do Suporte do Estepe;trinco do suporte do estepe, mecanismo de fechamento do suporte do estepe, fechadura do suporte do estepe;sim
Fechadura Elétrica da Trava do Estepe;trinco elétrico da trava do estepe, mecanismo de fechamento elétrico do estepe, fechadura elétrica da trava do estepe;sim
Fechadura Ferrolho da Porta;trinco ferrolho da porta, mecanismo de fechamento ferrolho da porta, fechadura ferrolho da porta;sim
Fechadura Lateral da Porta;trinco lateral da porta, mecanismo de fechamento lateral da porta, fechadura lateral da porta;sim
Fechadura Lateral da Tampa da Caçamba;trinco lateral da tampa da caçamba, mecanismo de fechamento lateral da tampa da caçamba;sim
Fechadura Porta Lateral Baú;trinco porta lateral baú, mecanismo de fechamento porta lateral baú, fecho porta lateral baú;sim
Fecho da Porta Lateral;trinco da porta lateral, mecanismo de fechamento da porta lateral, fechadura da porta lateral;sim
Fecho do Capô;trinco do capô, mecanismo de fechamento do capô, fechadura do capô;sim
Fecho do Porta-malas;trinco do porta-malas, mecanismo de fechamento do porta-malas, fechadura do porta-malas;sim
Fecho Elétrico;trinco elétrico, mecanismo de fechamento elétrico, fechadura elétrica;sim
Filetes da Grade do Radiador;ripas da grade do radiador, barras da grade do radiador, elementos da grade do radiador;sim
Filtro de Ar;elemento filtrante de ar, filtro de ar do motor, elemento filtro de ar;sim
Filtro de Bateria;elemento filtrante de bateria, filtro de ar do bateria, filtro de bateria do motor;sim
Filtro de Cabine;elemento filtrante de cabine, filtro de ar da cabine, filtro de ar condicionado, filtro anti polen;sim
Filtro de Combustível;elemento filtrante de combustível, filtro de ar do combustível, filtro de combustível do motor;sim
Filtro de Óleo;elemento filtrante de óleo, filtro de ar do óleo, filtro de óleo do motor;sim
Filtro de Óleo da Direção Hidráulica;elemento filtrante de óleo da direção hidráulica, filtro de ar do óleo da direção hidráulica, filtro de óleo da direção hidráulica do motor;sim
Filtro de Óleo do Câmbio;elemento filtrante de óleo do câmbio, filtro de ar do óleo do câmbio, filtro de óleo do câmbio do motor;sim
Filtro de Óleo do Câmbio Automático;elemento filtrante de óleo do câmbio automático, filtro de ar do óleo do câmbio automático, filtro de óleo do câmbio automático do motor;sim
Filtro de Partida a Frio;elemento filtrante de partida a frio, filtro de ar da partida a frio, filtro de partida a frio do motor;sim
Filtro do Reservatório Hidráulico;elemento filtrante do reservatório hidráulico, filtro de ar do reservatório hidráulico, filtro do reservatório hidráulico do motor;sim
Filtro Pressão da Turbina;elemento filtrante de pressão da turbina, filtro de ar de pressão da turbina, filtro pressão da turbina do motor;sim
Filtro Reagulador do Ar;elemento filtrante regulador do ar, filtro de ar regulador, filtro regulador do ar do motor;sim
Filtro Separador D'água;filtro separador d'água: elemento filtrante separador d'água, filtro de ar separador d'água, filtro separador d'água do motor;sim
Filtro Separador de Combustível;filtro separador de combustível: elemento filtrante separador de combustível, filtro de ar separador de combustível, filtro separador de combustível do motor;sim
Filtro Ureia;filtro ureia: elemento filtrante ureia, filtro de ar ureia, filtro ureia do motor;sim
Filtro Vapor Combustível;filtro vapor combustível: elemento filtrante de vapor de combustível, filtro de ar de vapor de combustível, filtro vapor combustível do motor;sim
Flange da Bomba D'Agua Auxiliar;flange da bomba d'água auxiliar: conexão da bomba d'água auxiliar, adaptador da bomba d'água auxiliar, flange da bomba d'água auxiliar do motor;sim
Flange da Bomba de Combustível;flange da bomba de combustível: conexão da bomba de combustível, adaptador da bomba de combustível, flange da bomba de combustível do motor;sim
Flange da Carcaça da Válvula Termostática;flange da carcaça da válvula termostática: conexão da carcaça da válvula termostática, adaptador da carcaça da válvula termostática, flange da carcaça da válvula termostática do motor;sim
Flange da Direção Hidráulica;flange da direção hidráulica: conexão da direção hidráulica, adaptador da direção hidráulica, flange da direção hidráulica do motor;sim
Flange da Válvula Termostática;flange da válvula termostática: conexão da válvula termostática, adaptador da válvula termostática, flange da válvula termostática do motor;sim
Flange do Bocal do Radiador;flange do bocal do radiador: conexão do bocal do radiador, adaptador do bocal do radiador, flange do bocal do radiador do motor;sim
Flange do Cabeçote;conexão do cabeçote, adaptador do cabeçote, flange do cabeçote do motor;sim
Flange Lateral do Cabeçote;flange do cabeçote lateral, conexão lateral do cabeçote, adaptador lateral do cabeçote;sim
Flauta de Injeção;tubo de injeção, coletor de injeção, distribuidor de combustível;sim
Flauta Distribuidora de Combustível;tubo distribuidor de combustível, coletor de combustível, distribuidor de combustível;sim
Flauta do Bico Injetor;tubo do bico injetor, coletor do bico injetor, distribuidor do bico injetor;sim
Flexível Basculante de Cabine;tubo basculante de cabine, mangueira basculante de cabine, conexão basculante de cabine;sim
Flexível Bloco Motor Combustível;tubo do bloco motor combustível, mangueira do bloco motor combustível, conexão do bloco motor combustível;sim
Flexível da Bomba da Direção Hidráulica;tubo da bomba da direção hidráulica, mangueira da bomba da direção hidráulica, conexão da bomba da direção hidráulica;sim
Flexível da Bomba de Alimentação;tubo da bomba de alimentação, mangueira da bomba de alimentação, conexão da bomba de alimentação;sim
Flexível da Bomba de Alta Pressão;tubo da bomba de alta pressão, mangueira da bomba de alta pressão, conexão da bomba de alta pressão;sim
Flexível da Bomba de Direção Hidráulica;tubo da bomba de direção hidráulica, mangueira da bomba de direção hidráulica, conexão da bomba de direção hidráulica;sim
Flexível da Bomba de Óleo ao Filtro de Óleo;tubo da bomba de óleo ao filtro de óleo, mangueira da bomba de óleo ao filtro de óleo, conexão da bomba de óleo ao filtro de óleo;sim
Flexível da Bomba de Vácuo;tubo da bomba de vácuo, mangueira da bomba de vácuo, conexão da bomba de vácuo;sim
Flexível da Bomba Injetora;tubo da bomba injetora, mangueira da bomba injetora, conexão da bomba injetora;sim
Flexível da Conduta de Fuga do Combustível;tubo da conduta de fuga do combustível, mangueira da conduta de fuga do combustível, conexão da conduta de fuga do combustível;sim
Flexível da Cuíca de Freio;tubo da cuíca de freio, mangueira da cuíca de freio, conexão da cuíca de freio;sim
Flexível da Direção Hidráulica;tubo da direção hidráulica, mangueira da direção hidráulica, conexão da direção hidráulica;sim
Flexível da Embreagem;tubo da embreagem, mangueira da embreagem, conexão da embreagem;sim
Flexível da Entrada de Ar do Reservatório;tubo da entrada de ar do reservatório, mangueira da entrada de ar do reservatório, conexão da entrada de ar do reservatório;sim
Flexível da Reduzida;tubo da reduzida, mangueira da reduzida, conexão da reduzida;sim
Flexível da Refrigeração do Compressor de Ar;tubo da refrigeração do compressor de ar, mangueira da refrigeração do compressor de ar, conexão da refrigeração do compressor de ar;sim
Flexível da Turbina;tubo da turbina, mangueira da turbina, conexão da turbina;sim
Flexível da Válvula de Descarga;tubo da válvula de descarga, mangueira da válvula de descarga, conexão da válvula de descarga;sim
Flexível da Válvula de Retenção;tubo da válvula de retenção, mangueira da válvula de retenção, conexão da válvula de retenção;sim
Flexível da Válvula Magnética;tubo da válvula magnética, mangueira da válvula magnética, conexão da válvula magnética;sim
Flexível de Alimentação da Direção Hidráulica;tubo de alimentação da direção hidráulica, mangueira de alimentação da direção hidráulica, conexão de alimentação da direção hidráulica;sim
Flexível de Ar da Reduzida;tubo de ar da reduzida, mangueira de ar da reduzida, conexão de ar da reduzida;sim
Flexível de Ar da Válvula Relê;tubo de ar da válvula relê, mangueira de ar da válvula relê, conexão de ar da válvula relê;sim
Flexível de Descarga do Compressor de Ar;tubo de descarga do compressor de ar, mangueira de descarga do compressor de ar, conexão de descarga do compressor de ar;sim
Flexível de Embreagem;tubo de embreagem, mangueira de embreagem, conexão de embreagem;sim
Flexível de Entrada da Turbina;tubo de entrada da turbina, mangueira de entrada da turbina, conexão de entrada da turbina;sim
Flexível de Entrada do Filtro de Óleo;tubo de entrada do filtro de óleo, mangueira de entrada do filtro de óleo, conexão de entrada do filtro de óleo;sim
Flexível de Freio;tubo de freio, mangueira de freio, conexão de freio;sim
Flexível de Lubrificação da Embreagem;tubo de lubrificação da embreagem, mangueira de lubrificação da embreagem, conexão de lubrificação da embreagem;sim
Flexível de Lubrificação da Turbina;tubo de lubrificação da turbina, mangueira de lubrificação da turbina, conexão de lubrificação da turbina;sim
Flexível de Lubrificação do Compressor;tubo de lubrificação do compressor, mangueira de lubrificação do compressor, conexão de lubrificação do compressor;sim
Flexível de Lubrificação do Rolamento da Embreagem;tubo de lubrificação do rolamento da embreagem, mangueira de lubrificação do rolamento da embreagem, conexão de lubrificação do rolamento da embreagem;sim
Flexível de Pressão da Direção Hidráulica;tubo de pressão da direção hidráulica, mangueira de pressão da direção hidráulica, conexão de pressão da direção hidráulica;sim
Flexível de Retorno de Óleo do Alternador;tubo de retorno de óleo do alternador, mangueira de retorno de óleo do alternador, conexão de retorno de óleo do alternador;sim
Flexível de Retorno do Compressor de Ar;tubo de retorno do compressor de ar, mangueira de retorno do compressor de ar, conexão de retorno do compressor de ar;sim
Flexível de Retorno do Óleo da Turbina;tubo de retorno do óleo da turbina, mangueira de retorno do óleo da turbina, conexão de retorno do óleo da turbina;sim
Flexível de Saída do Filtro de Óleo;tubo de saída do filtro de óleo, mangueira de saída do filtro de óleo, conexão de saída do filtro de óleo;sim
Flexível de Saída do Silencioso;tubo de saída do silencioso, mangueira de saída do silencioso, conexão de saída do silencioso;sim
Flexível de Válvula de Descarga Rápida;tubo de válvula de descarga rápida, mangueira de válvula de descarga rápida, conexão de válvula de descarga rápida;sim
Flexível do Basculamento da Cabine;tubo do basculamento da cabine, mangueira do basculamento da cabine, conexão do basculamento da cabine;sim
Flexível do Cilindro de Embreagem;tubo do cilindro de embreagem, mangueira do cilindro de embreagem, conexão do cilindro de embreagem;sim
Flexível do Cilindro de Freio;tubo do cilindro de freio do motor, mangueira do cilindro de freio do motor, conexão do cilindro de freio do motor;sim
Flexível do Cilindro Mestre;tubo do cilindro mestre do freio, mangueira do cilindro mestre do freio, conexão do cilindro mestre do freio;sim
Flexível do Compressor de Ar;tubo do compressor de ar, mangueira do compressor de ar, conexão do compressor de ar;sim
Flexível do Engate Rápido de Freio;mangueira do engate rápido de freio, conexão do engate rápido de freio, tubo do engate rápido de freio;sim
Flexível do Escapamento;mangueira do escapamento, conexão do escapamento, tubo do escapamento;sim
Flexível do Filtro da Bomba Injetora;mangueira do filtro da bomba injetora, conexão do filtro da bomba injetora, tubo do filtro da bomba injetora;sim
Flexível do Filtro de Combustível;mangueira do filtro de combustível, conexão do filtro de combustível, tubo do filtro de combustível;sim
Flexível do Filtro de Óleo;mangueira do filtro de óleo, conexão do filtro de óleo, tubo do filtro de óleo;sim
Flexível do Filtro Lubrificante;mangueira do filtro lubrificante, conexão do filtro lubrificante, tubo do filtro lubrificante;sim
Flexível do Radiador de Óleo;mangueira do radiador de óleo, conexão do radiador de óleo, tubo do radiador de óleo;sim
Flexível do Reservatório de Ar;mangueira do reservatório de ar, conexão do reservatório de ar, tubo do reservatório de ar;sim
Flexível do Sensor de Pressão;mangueira do sensor de pressão, conexão do sensor de pressão, tubo do sensor de pressão;sim
Flexível do Servo do Cilindro de Freio;mangueira do servo do cilindro de freio, conexão do servo do cilindro de freio, tubo do servo do cilindro de freio;sim
Flexível do Servo Freio à Turbina;mangueira do servo freio à turbina, conexão do servo freio à turbina, tubo do servo freio à turbina;sim
Flexível do Tubo D'água;mangueira do tubo d'água, conexão do tubo d'água, tubo do tubo d'água;sim
Flexível do Tubo de Saída do Motor;mangueira do tubo de saída do motor, conexão do tubo de saída do motor, tubo do tubo de saída do motor;sim
Flexível Intermedíario;mangueira intermediária, conexão intermediária, tubo intermediário;sim
Flexível Levantar Cabine;mangueira de levantar cabine, conexão de levantar cabine, tubo de levantar cabine;sim
Flexível Pré-Óleo da Turbina;mangueira pré-óleo da turbina, conexão pré-óleo da turbina, tubo pré-óleo da turbina;sim
Flexível Pressão da Bomba da Direção Hidráulica;mangueira pressão da bomba da direção hidráulica, conexão pressão da bomba da direção hidráulica, tubo pressão da bomba da direção hidráulica;sim
Flutobloc do Amortecedor;bucha do amortecedor, coifa do amortecedor, batente do amortecedor;sim
Friso da Grade;moldura da grade, acabamento da grade, borda da grade;sim
Friso da Grade do Para-choque;moldura da grade do para-choque, acabamento da grade do para-choque, borda da grade do para-choque;sim
Friso da Grade do Radiador;moldura da grade do radiador, acabamento da grade do radiador, borda da grade do radiador;sim
Friso da Moldura do Farol de Neblina;acabamento da moldura do farol de neblina, borda da moldura do farol de neblina, fita da moldura do farol de neblina;sim
Friso do Para-choque;moldura do para-choque, acabamento do para-choque, borda do para-choque;sim
Fundo do Filtro de Ar;elemento filtrante do filtro de ar, mídia do filtro de ar, cartucho do filtro de ar;sim
Gaiola do Comando;porta-rolamentos do comando, suporte do comando, estrutura do comando;sim
Galão do Para-lama;reservatório do para-lama, recipiente do para-lama, tanque do para-lama, debrum do para-lama;sim
Gancho do Fecho do Capô;trava do fecho do capô, lingueta do fecho do capô, pino do fecho do capô;sim
Garfo Acionador da Alavanca de Mudanças;garfo de engate da alavanca de mudanças, braço acionador da alavanca de mudanças, garra da alavanca de mudanças;sim
Garfo Acionador da Tração;garfo de engate da tração, braço acionador da tração, garra da tração;sim
Garfo da Alavanca do Trambulador;garfo de engate da alavanca do trambulador, braço acionador da alavanca do trambulador, garra da alavanca do trambulador;sim
Garfo da Unidade Injetora;garfo de engate da unidade injetora, braço acionador da unidade injetora, garra da unidade injetora;sim
Garfo de Embreagem;garfo de engate da embreagem, braço acionador da embreagem, garra da embreagem;sim
Garfo de Mudança;garfo de engate de mudança, braço acionador de mudança, garra de mudança;sim
Garfo do Câmbio;garfo de engate do câmbio, braço acionador do câmbio, garra do câmbio;sim
Garfo do Eixo Seletor;garfo de engate do eixo seletor, braço acionador do eixo seletor, garra do eixo seletor;sim
Garfo do Engate do Varão;garfo de engate do varão, braço acionador do engate do varão, garra do engate do varão;sim
Garfo do Trambulador;garfo de engate do trambulador, braço acionador do trambulador, garra do trambulador;sim
Garfo Seletor de Engate da Ré;garfo de seleção de engate da ré, garfo de engate da marcha à ré, garfo seletor de ré;sim
Garra de Para-choque;suporte de para-choque, braçadeira de para-choque, gancho de para-choque;sim
Garras para Bateria com Manoplas;grampos para bateria com manoplas, ganchos para bateria com manoplas, suportes para bateria com manoplas;sim
Gatilho da Maçaneta;alavanca da maçaneta, dispositivo de acionamento da maçaneta, pino de acionamento da maçaneta;sim
Gaxeta da Bomba D'água;anel de vedação da bomba d'água, junta da bomba d'água, vedação da bomba d'água;sim
Gaxeta do Cárter;anel de vedação do cárter, junta do cárter, vedação do cárter;sim
Gaxeta do Mancal do Virabrequim;anel de vedação do mancal do virabrequim, junta do mancal do virabrequim, vedação do mancal do virabrequim;sim
Grade da Cabine;grade do painel frontal, grade do painel de controle, grade do painel de instrumentos;sim
Grade de Entrada de Ar;grade de admissão de ar, grade de tomada de ar, grade de ventilação de ar;sim
Grade de Lanterna;grade de proteção de lanterna, grade de cobertura de lanterna, grade de ventilação de lanterna;sim
Grade de Proteção do Farol;grade de cobertura de farol, grade de ventilação de farol, grade de segurança do farol;sim
Grade de Ventilação;grade de entrada de ar, grade de tomada de ar, grade de saída de ar;sim
Grade Divisoria do Baú;grade separadora do baú, grade de segurança do baú, grade de divisão interna do baú;sim
Grade do Capô;grade frontal do capô, grade de refrigeração do capô, grade de ventilação do capô;sim
Grade do Farol;grade frontal do farol, grade de refrigeração do farol, grade de ventilação do farol;sim
Grade do Farol Auxiliar;grade frontal do farol auxiliar, grade de refrigeração do farol auxiliar, grade de ventilação do farol auxiliar;sim
Grade do Farol de Milha;grade frontal do farol de milha, grade de refrigeração do farol de milha, grade de ventilação do farol de milha;sim
Grade do Farol de Neblina;grade frontal do farol de neblina, grade de refrigeração do farol de neblina, grade de ventilação do farol de neblina;sim
Grade do Letreiro;grade de cobertura do letreiro, grade de ventilação do letreiro;sim
Grade do Painel;grade frontal do painel, grade de refrigeração do painel, grade de ventilação do painel;sim
Grade do Para-choque;grade frontal do para-choque, grade de refrigeração do para-choque, grade de ventilação do para-choque;sim
Grade do Para-lama;grade frontal do para-lama, grade de refrigeração do para-lama, grade de ventilação do para-lama;sim
Grade do Pisca;grade frontal do pisca, grade de refrigeração do pisca, grade de ventilação do pisca;sim
Grade do Radiador;grade frontal do radiador, grade de refrigeração do radiador, grade de ventilação do radiador;sim
Grade Esportiva do Para-choque;grade frontal esportiva do para-choque, grade personalizada do para-choque, grade estilizada do para-choque;sim
Grade Esportiva do Radiador;grade frontal esportiva do radiador, grade personalizada do radiador, grade estilizada do radiador;sim
Grade Fixa Radiador;grade frontal fixa do radiador, grade imóvel do radiador, grade estática do radiador;sim
Grade Intermediaria;grade central, grade do meio, grade de transição;sim
Grade Lateral;grade de laterais, grade de painel lateral, grade de refrigeração lateral;sim
Grade Lateral da Lanterna;grade de laterais da lanterna, grade de refrigeração lateral da lanterna, grade de ventilação lateral da lanterna;sim
Grade Moldura Pisca;grade da moldura do pisca, grade frontal do pisca, grade de refrigeração do pisca;sim
Grampo;presilha, braçadeira, abraçadeira;sim
Guanição da Porta;borracha da porta, vedação da porta, fita da porta;sim
Guarda Pó do Cilindro de Roda;capa protetora do cilindro de roda, proteção do cilindro de roda, capa de vedação do cilindro de roda;sim
Guarnição Alçapão Teto da Cabine;borracha do alçapão do teto da cabine, vedação do alçapão do teto da cabine, fita do alçapão do teto da cabine;sim
Guarnição Casco Cobra Protetor Mala Porta;borracha de proteção do casco cobra na mala porta, vedação do casco cobra na mala porta, fita de proteção do casco cobra na mala porta;sim
Guarnição da Carcaça da Bomba D'água;borracha da carcaça da bomba d'água, vedação da carcaça da bomba d'água, fita da carcaça da bomba d'água;sim
Guarnição da Dobradiça da Tampa do Motor;borracha da dobradiça da tampa do motor, vedação da dobradiça da tampa do motor, fita da dobradiça da tampa do motor;sim
Guarnição da Flange de Combustível;borracha da flange de combustível, vedação da flange de combustível, fita da flange de combustível;sim
Guarnição da Lanterna;vedação da lanterna, borracha da lanterna, fita da lanterna;sim
Guarnição da Lanterna de Placa;vedação da lanterna de placa, borracha da lanterna de placa, fita da lanterna de placa;sim
Guarnição da Porta;vedação da porta, borracha da porta, fita da porta;sim
Guarnição da Porta Corrediça;vedação da porta corrediça, borracha da porta corrediça, fita da porta corrediça;sim
Guarnição da Portinhola;vedação da portinhola, borracha da portinhola, fita da portinhola;sim
Guarnição da Válvula Termostática;vedação da válvula termostática, borracha da válvula termostática, fita da válvula termostática;sim
Guarnição do Anel do Tampão do Radiador;vedação do anel do tampão do radiador, borracha do anel do tampão do radiador, fita do anel do tampão do radiador;sim
Guarnição do Bico Injetor;vedação do bico injetor, borracha do bico injetor, fita do bico injetor;sim
Guarnição do Bocal do Tanque;vedação do bocal do tanque, borracha do bocal do tanque, fita do bocal do tanque;sim
Guarnição do Janelão;vedação do janelão, borracha do janelão, fita do janelão;sim
Guarnição do Para-lama;vedação do para-lama, borracha do para-lama, fita do para-lama;sim
Guarnição do Porta-malas;vedação do porta-malas, borracha do porta-malas, fita do porta-malas;sim
Guarnição do Quadro da Porta;vedação do quadro da porta, borracha do quadro da porta, fita do quadro da porta;sim
Guarnição do Suporte de Para-choque;vedação do suporte de para-choque, borracha do suporte de para-choque, fita do suporte de para-choque;sim
Guarnição do Suporte do Filtro de Óleo;vedação do suporte do filtro de óleo, borracha do suporte do filtro de óleo, fita do suporte do filtro de óleo;sim
Guarnição do Suporte do Tubo do Para-choque;vedação do suporte do tubo do para-choque, borracha do suporte do tubo do para-choque, fita do suporte do tubo do para-choque;sim
Guarnição do Tanque de Combustível;vedação do tanque de combustível, borracha do tanque de combustível, fita do tanque de combustível;sim
Guarnição do Tubo do Para-choque;vedação do tubo do para-choque, borracha do tubo do para-choque, fita do tubo do para-choque;sim
Guarnição do Vidro da Janela;vedação do vidro da janela, borracha do vidro da janela, fita do vidro da janela;sim
Guarnição do Vidro da Porta;vedação do vidro da porta, borracha do vidro da porta, fita do vidro da porta;sim
Guarnição do Vidro Lateral;vedação do vidro lateral, borracha do vidro lateral, fita do vidro lateral;sim
Guarnição Entre Portas;vedação entre portas, borracha entre portas, fita entre portas;sim
Guarnição Fixa da Carroceria;vedação fixa da carroceria, borracha fixa da carroceria, fita fixa da carroceria;sim
Guarnição Fixa da Porta;vedação fixa da porta, borracha fixa da porta, fita fixa da porta;sim
Guarnição Pingadeira;vedação pingadeira, borracha pingadeira, fita pingadeira;sim
Guarnição Primária da Porta;vedação primária da porta, borracha primária da porta, fita primária da porta;sim
Guarnição Proteção Borda da Porta;vedação proteção borda da porta, borracha proteção borda da porta, fita proteção borda da porta;sim
Guarnição Secundária da Porta;vedação secundária da porta, borracha secundária da porta, fita secundária da porta;sim
Guarnição Vidro Fixo da Porta;vedação vidro fixo da porta, borracha vidro fixo da porta, fita vidro fixo da porta;sim
Guia da Alavanca do Câmbio;bucha da alavanca do câmbio, pino-guia da alavanca do câmbio, roldana-guia da alavanca do câmbio;sim
Guia da Corrente de Distribuição;tensor da corrente de distribuição, roldana-guia da corrente de distribuição, guia-tensor da corrente de distribuição;sim
Guia da Corrente do Comando;tensor da corrente do comando, roldana-guia da corrente do comando, guia-tensor da corrente do comando;sim
Guia de Engate da Alavanca do Câmbio;bucha de engate da alavanca do câmbio, pino-guia de engate da alavanca do câmbio, roldana-guia de engate da alavanca do câmbio;sim
Guia do Articulador do Cabo do Trambulador;bucha do articulador do cabo do trambulador, pino-guia do articulador do cabo do trambulador, roldana-guia do articulador do cabo do trambulador;sim
Guia do Limitador da Alavanca do Câmbio;bucha do limitador da alavanca do câmbio, pino-guia do limitador da alavanca do câmbio, roldana-guia do limitador da alavanca do câmbio;sim
Guia do Para-choque;suporte do para-choque, barra-guia do para-choque, pino-guia do para-choque;sim
Guia Lateral do Para-choque;suporte lateral do para-choque, barra-guia lateral do para-choque, pino-guia lateral do para-choque;sim
Hélice da Ventoinha;pá da ventoinha, rotor da ventoinha, pás do ventilador;sim
Hélice do Alternador;rotor do alternador, pá do alternador, pás do gerador;sim
Hélice do Dínamo;rotor do dínamo, pá do dínamo, pás do gerador;sim
Hélice do Ventilador;rotor do ventilador, pá do ventilador, pás do arrefecimento;sim
Hidráulico de Embreagem;cilindro hidráulico de embreagem, atuador hidráulico de embreagem, bomba hidráulica de embreagem;sim
Holofote;farol auxiliar, refletor, spot;sim
Ilho da Coluna da Direção;furo da coluna da direção, orifício da coluna da direção, olhal da coluna da direção;sim
Ilho da Tampa da Correia Dentada;furo da tampa da correia dentada, orifício da tampa da correia dentada, olhal da tampa da correia dentada;sim
